,title
0,"""Great Performances"" Cats (1998)"
1,$9.99 (2008)
2,'Hellboy': The Seeds of Creation (2004)
3,'Neath the Arizona Skies (1934)
4,'Round Midnight (1986)
5,'Salem's Lot (2004)
6,'Til There Was You (1997)
7,"'burbs, The (1989)"
8,'night Mother (1986)
9,(500) Days of Summer (2009)
10,*batteries not included (1987)
11,...And God Spoke (1993)
12,...And Justice for All (1979)
13,1-900 (06) (1994)
14,10 (1979)
15,10 Attitudes (2001)
16,10 Cloverfield Lane (2016)
17,10 Items or Less (2006)
18,10 Things I Hate About You (1999)
19,10 Years (2011)
20,"10,000 BC (2008)"
21,100 Girls (2000)
22,100 Rifles (1969)
23,101 Dalmatians (1996)
24,101 Dalmatians (One Hundred and One Dalmatians) (1961)
25,101 Reykjavik (101 Reykjavík) (2000)
26,102 Dalmatians (2000)
27,"10th Kingdom, The (2000)"
28,"11'09""01 - September 11 (2002)"
29,11:14 (2003)
30,12 Angry Men (1957)
31,12 Angry Men (1997)
32,12 Years a Slave (2013)
33,127 Hours (2010)
34,12:08 East of Bucharest (A fost sau n-a fost?) (2006)
35,13 Assassins (Jûsan-nin no shikaku) (2010)
36,13 Ghosts (1960)
37,13 Going on 30 (2004)
38,13 Tzameti (2005)
39,"13th Warrior, The (1999)"
40,1408 (2007)
41,15 Minutes (2001)
42,16 Blocks (2006)
43,16 Wishes (2010)
44,17 Again (2009)
45,18 Again! (1988)
46,187 (One Eight Seven) (1997)
47,1941 (1979)
48,1984 (1956)
49,1984 (Nineteen Eighty-Four) (1984)
50,1990: The Bronx Warriors (1990: I guerrieri del Bronx) (1982)
51,2 Days in New York (2012)
52,2 Days in the Valley (1996)
53,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)"
54,2 Guns (2013)
55,2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her) (1967)
56,20 Dates (1998)
57,20 Feet from Stardom (Twenty Feet from Stardom) (2013)
58,"20,000 Leagues Under the Sea (1916)"
59,"20,000 Leagues Under the Sea (1954)"
60,200 Cigarettes (1999)
61,200 Motels (1971)
62,2001: A Space Odyssey (1968)
63,2010: The Year We Make Contact (1984)
64,2012 (2009)
65,2046 (2004)
66,21 (2008)
67,21 Grams (2003)
68,21 Jump Street (2012)
69,21 Up (1977)
70,22 Jump Street (2014)
71,23 (23 - Nichts ist so wie es scheint) (1998)
72,24 Hour Party People (2002)
73,"24 Hour Woman, The (1998)"
74,24: Redemption (2008)
75,25 Watts (2001)
76,25th Hour (2002)
77,27 Dresses (2008)
78,28 Days (2000)
79,28 Days Later (2002)
80,28 Up (1985)
81,28 Weeks Later (2007)
82,29th and Gay (2005)
83,3 Extremes (Three... Extremes) (Saam gaang yi) (2004)
84,3 Idiots (2009)
85,3 Ninjas (1992)
86,3 Ninjas Kick Back (1994)
87,3 Ninjas Knuckle Up (1995)
88,3 Ninjas: High Noon On Mega Mountain (1998)
89,3 Women (Three Women) (1977)
90,"3 Worlds of Gulliver, The (1960)"
91,3-Day Weekend (2008)
92,3-Iron (Bin-jip) (2004)
93,30 Days of Night (2007)
94,30 Minutes or Less (2011)
95,30 Years to Life (2001)
96,300 (2007)
97,3000 Miles to Graceland (2001)
98,300: Rise of an Empire (2014)
99,35 Up (1991)
100,"36th Chamber of Shaolin, The (Shao Lin san shi liu fang) (Master Killer) (1978)"
101,"39 Steps, The (1935)"
102,3:10 to Yuma (1957)
103,3:10 to Yuma (2007)
104,4 Little Girls (1997)
105,"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)"
106,4 for Texas (1963)
107,40 Days and 40 Nights (2002)
108,"40-Year-Old Virgin, The (2005)"
109,"400 Blows, The (Les quatre cents coups) (1959)"
110,"41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It, The (2010)"
111,42 (2013)
112,42 Up (1998)
113,42nd Street (1933)
114,45 Years (2015)
115,47 Ronin (2013)
116,48 Hrs. (1982)
117,49 Up (2005)
118,49th Parallel (1941)
119,5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007)
120,"5,000 Fingers of Dr. T, The (1953)"
121,50 First Dates (2004)
122,50/50 (2011)
123,52 Pick-Up (1986)
124,54 (1998)
125,56 Up (2012)
126,5x2 (2004)
127,61* (2001)
128,"6th Day, The (2000)"
129,"6th Man, The (Sixth Man, The) (1997)"
130,7 Days (Les 7 jours du talion) (2010)
131,7 Days in Hell (2015)
132,7 Plus Seven (1970)
133,71 Fragments of a Chronology of Chance (71 Fragmente einer Chronologie des Zufalls) (1994)
134,"7th Voyage of Sinbad, The (1958)"
135,8 1/2 (8½) (1963)
136,8 Heads in a Duffel Bag (1997)
137,8 Mile (2002)
138,8 Seconds (1994)
139,8 Women (2002)
140,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999)
141,84 Charing Cross Road (1987)
142,88 Minutes (2008)
143,8MM (1999)
144,9 (2005)
145,9 (2009)
146,9 1/2 Weeks (Nine 1/2 Weeks) (1986)
147,96 Minutes (2011) 
148,99 Homes (2014)
149,A Deadly Adoption (2015)
150,A Home at the End of the World (2004)
151,A Million Ways to Die in the West (2014)
152,A Most Violent Year (2014)
153,A Most Wanted Man (2014)
154,A Very Murray Christmas (2015)
155,A Walk in the Sun (1945)
156,A-Haunting We Will Go (1942)
157,"A-Team, The (2010)"
158,A.I. Artificial Intelligence (2001)
159,A.R.O.G. (2008)
160,AVP: Alien vs. Predator (2004)
161,AVPR: Aliens vs. Predator - Requiem (2007)
162,Abandon (2002)
163,Abbott and Costello Meet Frankenstein (1948)
164,Abbott and Costello Meet the Invisible Man (1951)
165,Abbott and Costello Meet the Mummy (1955)
166,Abduction (2011)
167,"Abominable Dr. Phibes, The (1971)"
168,About Elly (Darbareye Elly) (2009)
169,About Last Night (2014)
170,About Last Night... (1986)
171,About Schmidt (2002)
172,About Time (2013)
173,About a Boy (2002)
174,Above the Law (1988)
175,Above the Rim (1994)
176,Abraham Lincoln: Vampire Hunter (2012)
177,Absence of Malice (1981)
178,Absent (Ausente) (2011)
179,"Absent-Minded Professor, The (1961)"
180,Absolute Giganten (1999)
181,Absolute Power (1997)
182,"Abyss, The (1989)"
183,Accattone (1961)
184,Accepted (2006)
185,"Accidental Tourist, The (1988)"
186,"Accused, The (1988)"
187,Ace Ventura: Pet Detective (1994)
188,Ace Ventura: When Nature Calls (1995)
189,"Ace in the Hole (Big Carnival, The) (1951)"
190,Aces: Iron Eagle III (1992)
191,Across the Line: The Exodus of Charlie Wright (2010)
192,Across the Sea of Time (1995)
193,Across the Universe (2007)
194,"Act of Killing, The (2012)"
195,Action Jackson (1988)
196,Adam (2009)
197,Adam's Apples (Adams æbler) (2005)
198,Adam's Rib (1949)
199,Adaptation (2002)
200,Addams Family Reunion (1998)
201,Addams Family Values (1993)
202,"Addams Family, The (1991)"
203,Addicted to Love (1997)
204,"Addiction, The (1995)"
205,"Adjustment Bureau, The (2011)"
206,Admission (2013)
207,Adventureland (2009)
208,Adventures in Babysitting (1987)
209,"Adventures of Baron Munchausen, The (1988)"
210,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)"
211,"Adventures of Elmo in Grouchland, The (1999)"
212,"Adventures of Felix, The (a.k.a. Funny Felix) (Drôle de Félix) (2000)"
213,"Adventures of Ford Fairlane, The (1990)"
214,"Adventures of Huck Finn, The (1993)"
215,"Adventures of Ichabod and Mr. Toad, The (1949)"
216,"Adventures of Mary-Kate and Ashley, The: The Case of the United States Navy Adventure (1997)"
217,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)"
218,"Adventures of Pinocchio, The (1996)"
219,"Adventures of Pluto Nash, The (2002)"
220,"Adventures of Priscilla, Queen of the Desert, The (1994)"
221,"Adventures of Robin Hood, The (1938)"
222,"Adventures of Rocky and Bullwinkle, The (2000)"
223,"Adventures of Sebastian Cole, The (1998)"
